Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
14015,2014,7,10,18.4,1,N
14015,2014,7,11,19.4,1,N
14015,2014,7,12,18.8,1,N
31011,2014,1,1,23.7,1,N
31011,2014,1,2,24.2,1,N
31011,2014,1,3,24.8,1,N
31011,2014,1,4,26.7,1,N
31011,2014,1,5,27.5,1,N
31011,2014,1,6,26.7,1,N
31011,2014,1,7,22.8,1,N
31011,2014,1,8,24.4,1,N
31011,2014,1,9,25.2,1,N
31011,2014,1,10,25.1,1,N
31011,2014,1,11,23.6,1,N
31011,2014,1,12,23,1,N
31011,2014,1,13,23.4,1,N
31011,2014,1,14,23,1,N
31011,2014,1,15,23.1,1,N
31011,2014,1,16,24,1,N
31011,2014,1,17,22.7,1,N
31011,2014,1,18,23.6,1,N
31011,2014,1,19,21.9,1,N
31011,2014,1,20,23.2,1,N
31011,2014,1,21,22.9,1,N
31011,2014,1,22,23.6,1,N
31011,2014,1,23,24.1,1,N
31011,2014,1,24,23.9,1,N
31011,2014,1,25,24.8,1,N
31011,2014,1,26,25.7,1,N
31011,2014,1,27,23.7,1,N
31011,2014,1,28,24.6,1,N
31011,2014,1,29,24.6,1,N
31011,2014,1,30,24.4,1,N
31011,2014,1,31,23,1,N
31011,2014,2,1,24.6,1,N
31011,2014,2,2,26.1,1,N
31011,2014,2,3,23.4,1,N
31011,2014,2,4,21.9,1,N
31011,2014,2,5,23.5,1,N
31011,2014,2,6,21.7,1,N
31011,2014,2,7,22.2,1,N
31011,2014,2,8,22.6,1,N
31011,2014,2,9,23.5,1,N
31011,2014,2,10,24.3,1,N
31011,2014,2,11,24.1,1,N
31011,2014,2,12,23.6,1,N
31011,2014,2,13,21.9,1,N
31011,2014,2,14,21.2,1,N
31011,2014,2,15,22.2,1,N
31011,2014,2,16,24.3,1,N
31011,2014,2,17,24.8,1,N
31011,2014,2,18,24.8,1,N
31011,2014,2,19,24.9,1,N
31011,2014,2,20,24.8,1,N
31011,2014,2,21,25.9,1,N
31011,2014,2,22,25.3,1,N
31011,2014,2,23,23.4,1,N
31011,2014,2,24,24,1,N
31011,2014,2,25,23.6,1,N
31011,2014,2,26,22.5,1,N
31011,2014,2,27,22.8,1,N
31011,2014,2,28,23.1,1,N
31011,2014,3,1,21.3,1,N
31011,2014,3,2,22.8,1,N
31011,2014,3,3,23.8,1,N
31011,2014,3,4,24.1,1,N
31011,2014,3,5,23.7,1,N
31011,2014,3,6,22.8,1,N
31011,2014,3,7,23.6,1,N
31011,2014,3,8,24,1,N
31011,2014,3,9,24.2,1,N
31011,2014,3,10,24.6,1,N
31011,2014,3,11,24.6,1,N
31011,2014,3,12,22.7,1,N
31011,2014,3,13,22.4,1,N
31011,2014,3,14,23.8,1,N
31011,2014,3,15,21.3,1,N
31011,2014,3,16,19.1,1,N
31011,2014,3,17,20.1,1,N
31011,2014,3,18,22.4,1,N
31011,2014,3,19,24.2,1,N
31011,2014,3,20,24,1,N
31011,2014,3,21,23.5,1,N
31011,2014,3,22,23.5,1,N
31011,2014,3,23,23.6,1,N
31011,2014,3,24,23.6,1,N
31011,2014,3,25,22.9,1,N
31011,2014,3,26,23.2,1,N
31011,2014,3,27,23.6,1,N
31011,2014,3,28,24,1,N
31011,2014,3,29,23.9,1,N
31011,2014,3,30,24.9,1,N
31011,2014,3,31,24.7,1,N
31011,2014,4,1,23.5,1,N
31011,2014,4,2,23.3,1,N
31011,2014,4,3,23.5,1,N
31011,2014,4,4,24.1,1,N
31011,2014,4,5,24,1,N
31011,2014,4,6,24.1,1,N
31011,2014,4,7,22.2,1,N
31011,2014,4,8,24.1,1,N
31011,2014,4,9,24,1,N
31011,2014,4,10,23.8,1,N
31011,2014,4,11,22.7,1,N
31011,2014,4,12,22.8,1,N
31011,2014,4,13,24.1,1,N
31011,2014,4,14,23.9,1,N
31011,2014,4,15,24.9,1,N
31011,2014,4,16,24.6,1,N
31011,2014,4,17,24.7,1,N
31011,2014,4,18,24.6,1,N
31011,2014,4,19,23.1,1,N
31011,2014,4,20,21.6,1,N
31011,2014,4,21,23.6,1,N
31011,2014,4,22,22.4,1,N
31011,2014,4,23,23,1,N
31011,2014,4,24,23.8,1,N
31011,2014,4,25,23.1,1,N
31011,2014,4,26,23.4,1,N
31011,2014,4,27,22.8,1,N
31011,2014,4,28,21.8,1,N
31011,2014,4,29,19.6,1,N
31011,2014,4,30,19.2,1,N
31011,2014,5,1,19.7,1,N
31011,2014,5,2,20.4,1,N
31011,2014,5,3,19.9,1,N
31011,2014,5,4,16.1,1,N
31011,2014,5,5,14.6,1,N
31011,2014,5,6,17.1,1,N
31011,2014,5,7,16.8,1,N
31011,2014,5,8,19.8,1,N
31011,2014,5,9,21.7,1,N
31011,2014,5,10,19,1,N
31011,2014,5,11,21.1,1,N
31011,2014,5,12,21.8,1,N
31011,2014,5,13,21.9,1,N
31011,2014,5,14,21.8,1,N
31011,2014,5,15,21.8,1,N
31011,2014,5,16,21.7,1,N
31011,2014,5,17,21.4,1,N
31011,2014,5,18,20.2,1,N
31011,2014,5,19,20.7,1,N
31011,2014,5,20,20.6,1,N
31011,2014,5,21,20.6,1,N
31011,2014,5,22,21.4,1,N
31011,2014,5,23,21.3,1,N
31011,2014,5,24,20.2,1,N
31011,2014,5,25,18.3,1,N
31011,2014,5,26,21.3,1,N
31011,2014,5,27,22.4,1,N
31011,2014,5,28,20.8,1,N
31011,2014,5,29,22,1,N
31011,2014,5,30,21.2,1,N
31011,2014,5,31,20.5,1,N
31011,2014,6,1,21.8,1,N
31011,2014,6,2,21.1,1,N
31011,2014,6,3,21,1,N
31011,2014,6,4,22.3,1,N
31011,2014,6,5,22.8,1,N
31011,2014,6,6,22.7,1,N
31011,2014,6,7,21,1,N
31011,2014,6,8,18.4,1,N
31011,2014,6,9,18.6,1,N
31011,2014,6,10,16.1,1,N
31011,2014,6,11,19.6,1,N
31011,2014,6,12,21,1,N
31011,2014,6,13,21.9,1,N
31011,2014,6,14,22,1,N
31011,2014,6,15,19.7,1,N
31011,2014,6,16,18.1,1,N
31011,2014,6,17,18.8,1,N
31011,2014,6,18,19.5,1,N
31011,2014,6,19,20.5,1,N
31011,2014,6,20,19,1,N
31011,2014,6,21,17.3,1,N
31011,2014,6,22,16.2,1,N
31011,2014,6,23,16,1,N
31011,2014,6,24,19.4,1,N
31011,2014,6,25,14.6,1,N
31011,2014,6,26,15.8,1,N
31011,2014,6,27,19.2,1,N
31011,2014,6,28,16.1,1,N
31011,2014,6,29,16.2,1,N
31011,2014,6,30,14.4,1,N
31011,2014,7,1,12.5,1,N
31011,2014,7,2,17.7,1,N
31011,2014,7,3,18.1,1,N
31011,2014,7,4,19.4,1,N
31011,2014,7,5,17.5,1,N
31011,2014,7,6,14.5,1,N
