Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),Sunny
86282,2014,6,15,7.1,FALSE
86282,2014,6,16,4.3,FALSE
86282,2014,6,17,5.7,FALSE
86282,2014,6,18,5.1,FALSE
86282,2014,6,19,6.1,FALSE
86282,2014,6,20,6.4,FALSE
86282,2014,6,21,6.5,FALSE
86282,2014,6,22,6.2,FALSE
86282,2014,6,23,5.4,FALSE
86282,2014,6,24,6,FALSE
86282,2014,6,25,6,FALSE
86282,2014,6,26,6.6,FALSE
86282,2014,6,27,5.7,FALSE
86282,2014,6,28,5.7,FALSE
86282,2014,6,29,4.9,FALSE
86282,2014,6,30,5.9,FALSE
86282,2014,7,1,4,FALSE
86282,2014,7,2,7.7,FALSE
86282,2014,7,3,8.9,FALSE
86282,2014,7,4,8.2,FALSE
86282,2014,7,5,5.7,FALSE
86282,2014,7,6,6.2,FALSE
86282,2014,7,7,8.6,FALSE
86282,2014,7,8,8.2,FALSE
86282,2014,7,9,3.9,FALSE
86282,2014,7,10,5.7,FALSE
86282,2014,7,11,8.6,FALSE
94029,2014,1,1,15,FALSE
94029,2014,1,2,32.5,TRUE
94029,2014,1,3,30.1,TRUE
94029,2014,1,4,29.6,TRUE
94029,2014,1,5,14.4,FALSE
94029,2014,1,6,14.3,FALSE
94029,2014,1,7,30,TRUE
94029,2014,1,8,29.5,TRUE
94029,2014,1,9,32.5,TRUE
94029,2014,1,10,29.7,TRUE
94029,2014,1,11,31,TRUE
94029,2014,1,12,32.6,TRUE
94029,2014,1,13,32,TRUE
94029,2014,1,14,32.6,TRUE
94029,2014,1,15,25.5,TRUE
94029,2014,1,16,24.7,TRUE
94029,2014,1,17,15.3,TRUE
94029,2014,1,18,24.8,TRUE
94029,2014,1,19,17.1,TRUE
94029,2014,1,20,23.2,TRUE
94029,2014,1,21,21.8,TRUE
94029,2014,1,22,30.7,TRUE
94029,2014,1,23,31,TRUE
94029,2014,1,24,20.3,TRUE
94029,2014,1,25,23.3,TRUE
94029,2014,1,26,30.9,TRUE
94029,2014,1,27,30.6,TRUE
94029,2014,1,28,25.7,TRUE
94029,2014,1,29,31.1,TRUE
94029,2014,1,30,28.1,TRUE
94029,2014,1,31,21.6,TRUE
94029,2014,2,1,30,TRUE
94029,2014,2,2,25.4,TRUE
94029,2014,2,3,3.6,FALSE
94029,2014,2,4,14,FALSE
94029,2014,2,5,28.9,TRUE
94029,2014,2,6,28.7,TRUE
94029,2014,2,7,20.7,TRUE
94029,2014,2,8,25.1,TRUE
94029,2014,2,9,10.9,FALSE
94029,2014,2,10,19.5,TRUE
94029,2014,2,11,22.8,TRUE
94029,2014,2,12,7,FALSE
94029,2014,2,13,18.5,TRUE
94029,2014,2,14,3.9,FALSE
94029,2014,2,15,12.2,FALSE
94029,2014,2,16,10.8,FALSE
94029,2014,2,17,11.5,FALSE
94029,2014,2,18,12.8,FALSE
94029,2014,2,19,6,FALSE
94029,2014,2,20,17.8,TRUE
94029,2014,2,21,19.8,TRUE
94029,2014,2,22,21,TRUE
94029,2014,2,23,24.9,TRUE
94029,2014,2,24,8.1,FALSE
94029,2014,2,25,16.9,TRUE
94029,2014,2,26,17.1,TRUE
94029,2014,2,27,18.4,TRUE
94029,2014,2,28,22.5,TRUE
94029,2014,3,1,18.4,TRUE
94029,2014,3,2,12.9,FALSE
94029,2014,3,3,18.1,TRUE
94029,2014,3,4,22.3,TRUE
94029,2014,3,5,18.4,TRUE
94029,2014,3,6,14.9,FALSE
94029,2014,3,7,14.7,FALSE
94029,2014,3,8,16.3,TRUE
94029,2014,3,9,13.8,FALSE
94029,2014,3,10,7.8,FALSE
94029,2014,3,11,14.9,FALSE
94029,2014,3,12,11.3,FALSE
94029,2014,3,13,18.4,TRUE
94029,2014,3,14,9.7,FALSE
94029,2014,3,15,8,FALSE
94029,2014,3,16,13.7,FALSE
94029,2014,3,17,17,TRUE
94029,2014,3,18,15.3,TRUE
94029,2014,3,19,10.8,FALSE
94029,2014,3,20,12.9,FALSE
94029,2014,3,21,3,FALSE
94029,2014,3,22,10.4,FALSE
94029,2014,3,23,15.1,TRUE
94029,2014,3,24,13.7,FALSE
94029,2014,3,25,12.3,FALSE
94029,2014,3,26,15,FALSE
94029,2014,3,27,3.6,FALSE
94029,2014,3,28,3.7,FALSE
94029,2014,3,29,5.4,FALSE
94029,2014,3,30,5.5,FALSE
94029,2014,3,31,14.8,FALSE
94029,2014,4,1,13.7,FALSE
94029,2014,4,2,10.3,FALSE
94029,2014,4,3,10,FALSE
94029,2014,4,4,13.5,FALSE
94029,2014,4,5,5.3,FALSE
94029,2014,4,6,9.2,FALSE
94029,2014,4,7,10,FALSE
94029,2014,4,8,3.4,FALSE
